Title,Artist,ArtistBio,Date,Medium,Dimensions,CreditLine,MoMANumber,Classification,Department,DateAcquired,CuratorApproved,ObjectID,URL,Width,Height
Baked Potato,Roy Lichtenstein,"(American, 1923â€“1997)",1962,Ink and synthetic polymer paint on paper,"22 1/4 x 30 1/8"" (56.6 x 76.5 cm)",Gift of Abby Aldrich Rockefeller (by exchange),385.1984,Drawing,Drawings,1984-11-29,Y,36620,http://www.moma.org/collection/works/36620,56.6,76.5
Untitled,"Michael Snow, Harry Shunk, JÃ¡nos Kender","(Canadian, born 1929) (German, 1924â€“2006) (Hungarian, 1937â€“2009)",1971,Gelatin silver print,"7 11/16 x 7 11/16"" (19.6 x 19.6 cm)",Gift of the Roy Lichtenstein Foundation in honor of Jennifer Winkworth and Kynaston McShine and in memory of Harry Shunk and JÃ¡nos Kender,1018.2013.385,Photograph,Photography,2013-10-24,Y,176537,http://www.moma.org/collection/works/176537,19.6,19.6
"Cincinnati, Ohio",Lee Friedlander,"(American, born 1934)",1963,Gelatin silver print,"9 x 5 15/16"" (22.8 x 15.1 cm)",Purchase,851.1965,Photograph,Photography,1965-11-09,Y,56957,http://www.moma.org/collection/works/56957,22.8,15.1
Spill,"Wolfgang Stoerchle, Harry Shunk, JÃ¡nos Kender","(German, 1944â€“1976) (German, 1924â€“2006) (Hungarian, 1937â€“2009)",1971,Gelatin silver print,"6 11/16 x 9 11/16"" (17 x 24.6 cm)",Gift of the Roy Lichtenstein Foundation in honor of Jennifer Winkworth and Kynaston McShine and in memory of Harry Shunk and JÃ¡nos Kender,1018.2013.439,Photograph,Photography,2013-10-24,Y,176273,http://www.moma.org/collection/works/176273,17,24.6
Untitled from The French Portfolio,Joel Meyerowitz,"(American, born 1938)",1980,Dye transfer print,"12 1/2 x 18 11/16"" (31.8 x 47.4 cm)",Gift of the artist,225.2014.1,Photograph,Photography,2014-05-08,Y,181919,http://www.moma.org/collection/works/181919,31.8,47.4
"Wood Rule, Yard Stick, Squared Tape",Sylvia Plimack Mangold,"(American, born 1938)",1975,Synthetic polymer paint and pencil on paper,"14 x 19 7/8"" (35.6 x 50.5 cm)",Gift of Sarah-Ann and Werner H. Kramarsky,346.2008,Drawing,Drawings,2008-04-08,Y,117288,http://www.moma.org/collection/works/117288,35.6,50.5
Untitled,Agnes Martin,"(American, born Canada. 1912â€“2004)",1978,Watercolor and colored ink on transparentized paper,"9 x 9"" (22.9 x 22.9 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,2333.2005,Drawing,Drawings,2005-05-10,Y,96613,http://www.moma.org/collection/works/96613,22.9,22.9
"Milliken's General Store, Bridgewater, Maine",Berenice Abbott,"(American, 1898â€“1991)",1954,Gelatin silver print,"10 5/16 x 12 3/16"" (26.2 x 30.9 cm)",Gift of Ronald A. Kurtz,55.1988,Photograph,Photography,1988-03-10,Y,45102,http://www.moma.org/collection/works/45102,26.2,30.9
"The Anatomic Explosion, New York","Yayoi Kusama, Harry Shunk, JÃ¡nos Kender","(Japanese, born 1929) (German, 1924â€“2006) (Hungarian, 1937â€“2009)",1968,Gelatin silver print,"7 11/16 x 9 5/8"" (19.5 x 24.5 cm)",Gift of the Roy Lichtenstein Foundation in memory of Harry Shunk and JÃ¡nos Kender,1017.2013.33,Photograph,Photography,2013-10-24,Y,177011,http://www.moma.org/collection/works/177011,19.5,24.5
Gutter,Joseph Dankowski,"(American, 1932â€“2010)",1969,Gelatin silver print,"6 x 9"" (15.2 x 22.8 cm)",Purchase,363.1972.1,Photograph,Photography,1972-11-21,Y,131098,http://www.moma.org/collection/works/131098,15.2,22.8
Untitled (Temple of Athena),Manfred Pernice,"(German, born 1963)",1999,"Pencil, ballpoint pen, and watercolor on cut-and-taped paper and printed paper with pressure-sensitive photo corners on paper","11 5/8 x 8 1/4"" (29.5 x 21 cm)",Gift of Ingvild Goetz,2446.2001,Drawing,Drawings,2001-10-11,Y,82292,http://www.moma.org/collection/works/82292,29.5,21
Parked Island Barges on the Hudson,"Gordon Matta-Clark, Harry Shunk, JÃ¡nos Kender","(American, 1943â€“1978) (German, 1924â€“2006) (Hungarian, 1937â€“2009)",1971,Gelatin silver print,"6 9/16 x 9 11/16"" (16.6 x 24.6 cm)",Gift of the Roy Lichtenstein Foundation in honor of Jennifer Winkworth and Kynaston McShine and in memory of Harry Shunk and JÃ¡nos Kender,1018.2013.254,Photograph,Photography,2013-10-24,Y,176463,http://www.moma.org/collection/works/176463,16.6,24.6
"IN THE HALL OF MOSSES, HOH RIVER RAIN FOREST, OLYMPIC NATIONAL PARK, WASHINGTON from SPECIAL EDI TION, 1957",Philip Hyde,"(American, born 1921)",1955,Gelatin silver print,"9 7/16 x 7 9/16"" (12.4 x 19.2 cm)",Gift of David H. McAlpin,1780.1968,Photograph,Photography,1968-05-01,N,58363,,12.4,19.2
Self-Portrait in New York,William T. Wiley,"(American, born 1937)",1976,"Crayon, charcoal, felt-tip pen, ink, and pencil on paper","26 1/2 x 23 3/8"" (67.3 x 59.1 cm)",Gift of the artist,785.1978,Drawing,Drawings,1978-10-27,Y,38071,http://www.moma.org/collection/works/38071,67.3,59.1
Untitled (Rhino II),William Kentridge,"(South African, born 1955)",2007,Lithograph with collage additions,"sheet: 17 11/16 x 19 11/16"" (45 x 50 cm)",Gift of Joel Ehrenkranz,423.201,Print,Prints & Illustrated Books,2010-06-09,Y,135133,http://www.moma.org/collection/works/135133,45,50
"Harlem, New York City",Vivian Cherry,"(American, born 1920)",1952,Gelatin silver print,"12 3/16 x 10 1/4"" (31 x 26 cm)",The Family of Man Fund,321.1994,Photograph,Photography,1994-06-09,Y,50720,http://www.moma.org/collection/works/50720,31,26
Myopic Plasmid,Daniel Zeller,"(American, born 1965)",2002,Ink and colored ink on paper,"22 x 30"" (55.9 x 76.2 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,3473.2005,Drawing,Drawings,2005-05-10,Y,97805,http://www.moma.org/collection/works/97805,55.9,76.2
Moon Surface (Surveyor I),Vija Celmins,"(American, born Latvia 1938)",1971,Graphite on synthetic polymer ground on paper,"14 x 18 1/2"" (35.6 x 47 cm)",Gift of Edward R. Broida,676.2005,Drawing,Drawings,2005-10-11,Y,100216,http://www.moma.org/collection/works/100216,35.6,47
Pink (Two Lines Meeting in Space),Amy Gartrell,"(American, born 1974)",2004,"Ink, gel-ink pen, and pencil on colored paper","19 x 16"" (48.3 x 40.6 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,1718.2005,Drawing,Drawings,2005-05-10,Y,95984,http://www.moma.org/collection/works/95984,48.3,40.6
Lapeyrouse Wall,Peter Doig,"(British, born 1959)",2005,Etching on chine collÃ©,"Sheet: 18 x 22 1/4"" (45.7 x 56.5 cm)",Gift of Anna Marie and Robert F. Shapiro,925.2005,Print,Prints & Illustrated Books,2005-10-25,Y,100169,http://www.moma.org/collection/works/100169,45.7,56.5
"Sparky and Cowboy, Schererville, Indiana",Danny Lyon,"(American, born 1942)",1965,Gelatin silver print,"8 3/4 x 13"" (22.3 x 33.1 cm)",Gift of Mr. and Mrs. James Hunter,412.1992.9,Photograph,Photography,1992-10-15,N,52935,,22.3,33.1
Grouping and Coupling (Blockhead Drawing 1 of 4),Paul McCarthy,"(American, born 1945)",2000,Pencil on transparentized paper,"24 x 18 7/8"" (61 x 47.9 cm)",Gift of Ninah and Michael Lynne,146.2003.1,Drawing,Drawings,2003-05-13,Y,88075,http://www.moma.org/collection/works/88075,61,47.9
Transfer,Eve Aschheim,"(American, born 1958)",1999,"Pencil, ink, and charcoal on synthetic polymer sheet","12 x 9"" (30.5 x 22.9 cm)",Gift of Sarah-Ann and Werner H. Kramarsky,78.2004,Drawing,Drawings,2004-05-11,Y,90661,http://www.moma.org/collection/works/90661,30.5,22.9
Explanatory notes of the visual history of sketches for Variation No. 7: Full Moon,Richard Lippold,"(American, 1915â€“2002)",1950,Pen and ink on paper,"11 x 8 1/2"" (27.9 x 21.6 cm) each","Gift of Mrs. Alfred H. Barr, Jr.",508.1977.1-4,Drawing,Drawings,1977-11-02,N,37239,,27.9,21.6
Wide Eye from Helmet Head Lithographs,Henry Moore,"(British, 1898â€“1986)",1974,One from a portfolio of five lithographs,"irreg. composition 12 11/16 x 14 3/4"" (32.3 x 37.4 cm)",Gift of Editions GÃ©rald Cramer,448.1977.5,Print,Prints & Illustrated Books,1977-11-10,Y,69305,http://www.moma.org/collection/works/69305,32.3,37.4
Volcano 106,Aaron Siskind,"(American, 1903â€“1991)",1980,Gelatin silver print,"10 x 9 1/16"" (25.3 x 23 cm)",Gift of Frances F. L. Beatty,36.1984,Photograph,Photography,1984-01-12,Y,44411,http://www.moma.org/collection/works/44411,25.3,23
"Senator Robert C. Byrd, Democrat, West Virginia (Majority Leader)",Judith Joy Ross,"(American, born 1946)",1987,Gelatin silver printing-out-paper print,"9 5/8 x 7 11/16"" (24.5 x 19.6 cm)",Acquired through the generosity of Shirley C. Burden,594.1987,Photograph,Photography,1987-12-10,Y,55458,http://www.moma.org/collection/works/55458,24.5,19.6
The Feel of Light,Jerry Uelsmann,"(American, born 1934)",1966,Gelatin silver print,"6 5/8 x 6"" (16.8 x 15.2 cm)",Purchase,563.1973,Photograph,Photography,1973-11-13,Y,55170,http://www.moma.org/collection/works/55170,16.8,15.2
Cryptonymous Infusion,Daniel Zeller,"(American, born 1965)",2002,Ink and colored ink on paper,"30 x 37"" (76.2 x 94 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,3474.2005,Drawing,Drawings,2005-05-10,Y,97807,http://www.moma.org/collection/works/97807,76.2,94
Architecture Panoramas,Jan Dibbets,"(Dutch, born 1941)",1971,Chromogenic color print,"8 9/16 x 11 3/16"" (21.7 x 28.4 cm)",Anonymous gift,221.2014.106,Photograph,Photography,2014-05-08,N,185089,,21.7,28.4
Untitled,"George Trakas, Harry Shunk, JÃ¡nos Kender","(Canadian, born 1944) (German, 1924â€“2006) (Hungarian, 1937â€“2009)",1971,Gelatin silver print,"9 3/4 x 7 5/8"" (24.8 x 19.4 cm)",Gift of the Roy Lichtenstein Foundation in honor of Jennifer Winkworth and Kynaston McShine and in memory of Harry Shunk and JÃ¡nos Kender,1018.2013.462,Photograph,Photography,2013-10-24,Y,176512,http://www.moma.org/collection/works/176512,24.8,19.4
Profil de la mÃ©moire,Marcel Jean,"(French, 1900â€“1993)",1972,Portfolio of thirty-six etchings,"Portfolio: 22 x 28"" (55.9 x 71.1 cm)",Gift of Timothy Baum,520.2004.1-36,Print,Prints & Illustrated Books,2005-03-08,N,94504,,55.9,71.1
OP. 134,Hans Hinterreiter,"(Swiss, 1902â€“1989)",1961,Mixed media on paper,"15 3/8 x 13 7/8"" (39.0 x 35.1 cm)",Gift of the artist,251.1966,Drawing,Drawings,1966-05-10,N,35602,,39,35.1
Living Together #15,Vibeke Tandberg,"(Norwegian, born 1967)",1996,Chromogenic color print,"10 3/8 x 15 3/4"" (26.3 x 40 cm)",Gift of Heather and Tony Podesta,423.2013,Photograph,Photography,2013-02-13,N,165777,,26.3,40
2.3.85,Gerhard Richter,"(German, born 1932)",1985,"Watercolor, oil, crayon, and pencil on paper","6 1/2 x 9 1/2"" (16.5 x 24.1 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,2873.2005,Drawing,Drawings,2005-05-10,Y,97157,http://www.moma.org/collection/works/97157,16.5,24.1
"Gravestone, near Toquerville",Dorothea Lange,"(American, 1895â€“1965)",1953,"Gelatin silver print, printed 1965","12 9/16 x 12 9/16"" (31.9 x 32 cm)",Purchase,480.1995,Photograph,Photography,1995-06-15,N,54139,,31.9,32
Untitled Film Still #50,Cindy Sherman,"(American, born 1954)",1979,Gelatin silver print,"6 9/16 x 9 7/16"" (16.7 x 24 cm)",Horace W. Goldsmith Fund through Robert B. Menschel,860.1995,Photograph,Photography,1995-12-14,Y,57159,http://www.moma.org/collection/works/57159,16.7,24
Texas State Fair from Women are Beautiful,Garry Winogrand,"(American, 1928â€“1984)",1964,Gelatin silver print,"13 7/16 x 8 15/16"" (34.1 x 22.8 cm)",Purchase and gift of Barbara Schwartz in memory of Eugene M. Schwartz,407.1998,Photograph,Photography,1998-06-11,N,52770,,34.1,22.8
"Jacob Israel Avedon, Sarasota, Florida",Richard Avedon,"(American, 1923â€“2004)",1969,Gelatin silver print,"13 3/8 x 10 9/16"" (34 x 26.8 cm)",Committee on Photography Fund,492.2009.3,Photograph,Photography,2009-05-11,N,129195,,34,26.8
Pose 0216 Alex Katz,Lucas Samaras,"(American, born Greece 1936)",2009,Pigmented inkjet print,"32 x 18"" (81.3 x 45.7 cm)",Gift of Dr. and Mrs. William Tsiaras,318.2013,Photograph,Photography,2013-02-13,N,166261,,81.3,45.7
Perspective Corrections,Jan Dibbets,"(Dutch, born 1941)",1967,Gelatin silver print,"8 1/4 x 11 1/4"" (21 x 28.6 cm)",Anonymous gift,221.2014.2,Photograph,Photography,2014-05-08,N,181743,,21,28.6
"Washington, Utah",Steven B. Smith,"(American, born 1963)",1997,"Pigmented inkjet print, printed 2007","11 1/2 x 14 9/16"" (29.2 x 37 cm)",E. T. Harmax Foundation Fund,230.2007,Photograph,Photography,2007-05-10,Y,108906,http://www.moma.org/collection/works/108906,29.2,37
"Handball Player, Miami Beach",Jerome Liebling,"(American, 1924â€“2011)",1977,Gelatin silver print,"10 3/4 x 9 5/8"" (27.3 x 24.4 cm)",Gift of Jane Katcher in honor of Agnes Gund,397.1997,Photograph,Photography,1997-10-09,Y,52561,http://www.moma.org/collection/works/52561,27.3,24.4
Saenredam,Jan Dibbets,"(Dutch, born 1941)",1973,Chromogenic color print,"8 9/16 x 11 3/16"" (21.7 x 28.4 cm)",Anonymous gift,221.2014.313,Photograph,Photography,2014-05-08,N,185556,,21.7,28.4
Les GÃ©ants du Nord,Robert Doisneau,"(French, 1912â€“1994)",1951,Gelatin silver print,"16 1/8 x 11 13/16"" (41 x 30 cm)",Gift of Mr. and Mrs. James Hunter,396.1992.5,Photograph,Photography,1992-10-15,Y,52537,http://www.moma.org/collection/works/52537,41,30
#11,James Siena,"(American, born 1957)",1990,Ink and pencil on paper,"9 x 7"" (22.9 x 17.8 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,3096.2005,Drawing,Drawings,2005-05-10,Y,97395,http://www.moma.org/collection/works/97395,22.9,17.8
"Two Graves, Stewart, Alabama",William Christenberry,"(American, born 1936)",1984,Chromogenic color print,"17 5/16 x 22 1/16"" (44 x 56 cm)","Partial gift of Shirley C. Burden, by exchange",564.1987.x1-x2,Photograph,Photography,1987-12-10,Y,55182,http://www.moma.org/collection/works/55182,44,56
Preparatory drawings for Larry Miller's Maze and Orifice Flux Plugs and Robert Watt's Flux Timekit,George Maciunas,"(American, born Lithuania. 1931â€“1978)",1977,Ink on paper,"sheet: 10 1/16 x 7 1/2"" (25.5 x 19 cm)",The Gilbert and Lila Silverman Fluxus Collection Gift,3609.2008,Drawing,Prints & Illustrated Books,2008-10-08,N,131685,,25.5,19
"Stony Brook State Park, New York",Minor White,"(American, 1908â€“1976)",1960,Gelatin silver print,"17 5/16 x 22 1/4"" (44 x 56.5 cm)",Gift of David Laing,522.1992,Photograph,Photography,1992-12-03,N,54685,,44,56.5
